i j lamda_ij(AA) Aji_E1 fij_E1 S_E1 Aji_E2 Aji_M1 Aji_M2
1 105 2.821E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 6.403E-07 0.000E+00
1 106 2.821E+02 0.000E+00 0.000E+00 0.000E+00 5.956E-04 0.000E+00 0.000E+00
1 108 2.815E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.102E-05 0.000E+00
1 112 2.796E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 3.569E-05 0.000E+00
1 115 2.790E+02 0.000E+00 0.000E+00 0.000E+00 9.100E-03 0.000E+00 0.000E+00
1 120 2.773E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.053E-08
1 123 2.760E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.317E-02
1 125 2.757E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.286E-04 0.000E+00
1 126 2.757E+02 0.000E+00 0.000E+00 0.000E+00 2.827E-02 0.000E+00 0.000E+00
1 127 2.756E+02 0.000E+00 0.000E+00 0.000E+00 4.960E+01 0.000E+00 0.000E+00
1 132 2.738E+02 3.154E+01 1.063E-09 9.585E-10 0.000E+00 0.000E+00 0.000E+00
1 133 2.738E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.406E-10
1 135 2.730E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.752E-03
1 136 2.730E+02 2.447E+01 8.205E-10 7.375E-10 0.000E+00 0.000E+00 0.000E+00
1 140 2.691E+02 6.402E+06 2.085E-04 1.847E-04 0.000E+00 0.000E+00 0.000E+00
2 3 8.113E+05 0.000E+00 0.000E+00 0.000E+00 0.000E+00 3.367E-05 0.000E+00
2 4 2.668E+05 0.000E+00 0.000E+00 0.000E+00 2.495E-09 0.000E+00 0.000E+00
2 5 2.998E+03 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.567E-02 0.000E+00
2 6 1.456E+03 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.338E-02
2 8 1.290E+03 7.417E+08 5.551E-01 2.357E+00 0.000E+00 0.000E+00 0.000E+00
2 9 1.286E+03 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.124E-02
2 11 1.090E+03 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 4.881E-03
2 12 1.090E+03 1.648E+09 8.804E-01 3.159E+00 0.000E+00 0.000E+00 0.000E+00
2 13 9.984E+02 2.638E+08 1.182E-01 3.886E-01 0.000E+00 0.000E+00 0.000E+00
2 16 8.394E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 4.908E-03
2 18 8.207E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 8.033E-03 0.000E+00
2 19 8.203E+02 0.000E+00 0.000E+00 0.000E+00 4.331E+03 0.000E+00 0.000E+00
2 20 8.083E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.006E-02 0.000E+00
2 21 6.871E+02 0.000E+00 0.000E+00 0.000E+00 4.748E+04 0.000E+00 0.000E+00
2 24 6.744E+02 6.310E+06 1.291E-03 2.865E-03 0.000E+00 0.000E+00 0.000E+00
2 25 6.744E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.607E-05
2 28 6.590E+02 0.000E+00 0.000E+00 0.000E+00 4.123E+01 0.000E+00 0.000E+00
2 29 6.512E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 9.884E-06
2 30 6.382E+02 0.000E+00 0.000E+00 0.000E+00 5.623E+03 0.000E+00 0.000E+00
2 33 6.081E+02 0.000E+00 0.000E+00 0.000E+00 1.571E+04 0.000E+00 0.000E+00
2 34 6.077E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 7.492E-04 0.000E+00
2 36 6.024E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.550E-04 0.000E+00
2 37 6.022E+02 0.000E+00 0.000E+00 0.000E+00 1.717E+04 0.000E+00 0.000E+00
2 40 5.784E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 4.783E-04 0.000E+00
2 41 5.774E+02 0.000E+00 0.000E+00 0.000E+00 2.169E+02 0.000E+00 0.000E+00
2 42 5.628E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.356E-04 0.000E+00
2 44 5.297E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.393E-03 0.000E+00
2 45 5.294E+02 6.848E+05 8.633E-05 1.505E-04 0.000E+00 0.000E+00 0.000E+00
2 46 5.246E+02 9.781E+07 1.211E-02 2.091E-02 0.000E+00 0.000E+00 0.000E+00
2 47 5.242E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.776E-02
2 50 5.149E+02 4.799E+07 5.723E-03 9.701E-03 0.000E+00 0.000E+00 0.000E+00
2 51 5.144E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 4.941E-03
2 52 5.118E+02 7.355E+06 8.664E-04 1.460E-03 0.000E+00 0.000E+00 0.000E+00
2 53 5.017E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.947E-02
2 55 4.613E+02 0.000E+00 0.000E+00 0.000E+00 1.388E+01 0.000E+00 0.000E+00
2 56 4.596E+02 0.000E+00 0.000E+00 0.000E+00 6.901E+02 0.000E+00 0.000E+00
2 59 4.574E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 3.599E-05 0.000E+00
2 60 4.573E+02 0.000E+00 0.000E+00 0.000E+00 4.027E+02 0.000E+00 0.000E+00
2 62 4.523E+02 0.000E+00 0.000E+00 0.000E+00 1.659E+01 0.000E+00 0.000E+00
2 63 4.520E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.145E-04 0.000E+00
2 66 4.515E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 7.807E-03
2 74 4.423E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.297E-03
2 76 4.414E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.474E-06
2 77 4.412E+02 1.401E+04 1.227E-06 1.782E-06 0.000E+00 0.000E+00 0.000E+00
2 78 4.343E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.140E-03 0.000E+00
2 79 4.103E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.697E-02
