0 	1 	5.72e-01	4.90e-01	4.17e-01	3.47e-01	2.80e-01	2.18e-01	1.64e-01	1.21e-01	8.75e-02	6.19e-02
0 	2 	1.76e+00	1.50e+00	1.27e+00	1.05e+00	8.46e-01	6.57e-01	4.95e-01	3.64e-01	2.63e-01	1.86e-01
0 	3 	2.90e+00	2.46e+00	2.09e+00	1.74e+00	1.40e+00	1.09e+00	8.20e-01	6.03e-01	4.35e-01	3.08e-01
0 	4 	5.92e+00	6.42e+00	6.92e+00	7.53e+00	8.47e+00	9.92e+00	1.17e+01	1.37e+01	1.60e+01	1.86e+01
0 	5 	7.87e-01	8.38e-01	8.77e-01	9.05e-01	9.36e-01	9.88e-01	1.07e+00	1.17e+00	1.30e+00	1.43e+00
0 	6 	2.22e-02	1.98e-02	1.66e-02	1.32e-02	1.01e-02	7.37e-03	5.24e-03	3.65e-03	2.50e-03	1.68e-03
0 	7 	6.78e-02	5.99e-02	5.01e-02	3.98e-02	3.03e-02	2.22e-02	1.58e-02	1.10e-02	7.56e-03	5.09e-03
0 	8 	1.16e-01	1.02e-01	8.49e-02	6.74e-02	5.12e-02	3.75e-02	2.67e-02	1.87e-02	1.29e-02	8.84e-03
0 	9 	4.83e-01	4.65e-01	4.36e-01	3.98e-01	3.54e-01	3.06e-01	2.58e-01	2.09e-01	1.64e-01	1.24e-01
0 	10	3.44e-01	3.31e-01	3.11e-01	2.84e-01	2.52e-01	2.18e-01	1.83e-01	1.49e-01	1.17e-01	8.85e-02
0 	11	2.06e-01	1.98e-01	1.86e-01	1.70e-01	1.51e-01	1.31e-01	1.10e-01	8.98e-02	7.05e-02	5.33e-02
0 	12	3.28e-01	2.97e-01	2.55e-01	2.10e-01	1.68e-01	1.30e-01	9.83e-02	7.25e-02	5.23e-02	3.68e-02
0 	13	2.31e-01	2.28e-01	2.25e-01	2.24e-01	2.29e-01	2.39e-01	2.55e-01	2.73e-01	2.91e-01	3.06e-01
0 	14	4.60e-01	4.51e-01	4.47e-01	4.53e-01	4.79e-01	5.16e-01	5.50e-01	5.77e-01	6.00e-01	6.25e-01
1 	2 	2.23e+00	2.12e+00	2.01e+00	1.87e+00	1.66e+00	1.39e+00	1.10e+00	8.33e-01	6.12e-01	4.38e-01
1 	3 	3.44e+00	3.29e+00	3.10e+00	2.85e+00	2.51e+00	2.14e+00	1.79e+00	1.52e+00	1.33e+00	1.21e+00
1 	4 	8.86e-01	8.55e-01	7.99e-01	7.04e-01	5.81e-01	4.52e-01	3.37e-01	2.42e-01	1.70e-01	1.17e-01
1 	5 	9.48e-01	8.84e-01	7.84e-01	6.66e-01	5.48e-01	4.39e-01	3.43e-01	2.62e-01	1.94e-01	1.40e-01
1 	6 	1.07e-01	9.97e-02	9.05e-02	8.02e-02	6.91e-02	5.77e-02	4.69e-02	3.71e-02	2.85e-02	2.12e-02
1 	7 	2.51e+00	2.62e+00	2.77e+00	2.97e+00	3.25e+00	3.66e+00	4.23e+00	4.99e+00	5.93e+00	7.05e+00
1 	8 	3.52e-01	3.30e-01	3.03e-01	2.71e-01	2.37e-01	2.02e-01	1.68e-01	1.36e-01	1.08e-01	8.36e-02
1 	9 	4.56e-01	4.40e-01	4.16e-01	3.81e-01	3.42e-01	3.05e-01	2.76e-01	2.55e-01	2.41e-01	2.34e-01
1 	10	3.84e-01	3.81e-01	3.70e-01	3.42e-01	3.01e-01	2.53e-01	2.05e-01	1.60e-01	1.22e-01	9.02e-02
1 	11	2.25e+00	2.36e+00	2.50e+00	2.71e+00	3.01e+00	3.48e+00	4.14e+00	5.02e+00	6.11e+00	7.41e+00
1 	12	3.14e-01	3.14e-01	3.08e-01	2.98e-01	2.91e-01	2.96e-01	3.22e-01	3.72e-01	4.51e-01	5.59e-01
1 	13	8.24e-02	7.70e-02	6.84e-02	5.78e-02	4.68e-02	3.65e-02	2.77e-02	2.04e-02	1.48e-02	1.05e-02
1 	14	1.16e-01	9.98e-02	8.29e-02	6.66e-02	5.19e-02	3.92e-02	2.88e-02	2.06e-02	1.44e-02	9.85e-03
